ID,Type,Name
CVS_F_71104,Female,FirstTrim_F_71104
CVS_M_70956,Male,FirstTrim_M_70956
CVS_F_71757,Female,FirstTrim_F_71757
CVS_M_71086,Male,FirstTrim_M_71086
CVS_F_70805,Female,FirstTrim_F_70805
CVS_M_71861,Male,FirstTrim_M_71861
CVS_F_71016,Female,FirstTrim_F_71016
CVS_M_70932,Male,FirstTrim_M_70932
CVS_M_70801,Male,FirstTrim_M_70801
CVS_M_70906,Male,FirstTrim_M_70906
CVS_M_71282,Male,FirstTrim_M_71282
CVS_M_71127,Male,FirstTrim_M_71127
CVS_F_72098,Female,FirstTrim_F_72098
CVS_M_71905,Male,FirstTrim_M_71905
CVS_F_71527,Female,FirstTrim_F_71527
CVS_M_71673,Male,FirstTrim_M_71673
CVS_M_71955,Male,FirstTrim_M_71955
CVS_F_72069,Female,FirstTrim_F_72069
CVS_F_72034,Female,FirstTrim_F_72034
CVS_F_70710,Female,FirstTrim_F_70710
CVS_F_71318,Female,FirstTrim_F_71318
CVS_F_70738,Female,FirstTrim_F_70738
CVS_M_71731,Male,FirstTrim_M_71731
CVS_M_70774,Male,FirstTrim_M_70774
CVS_M_70705,Male,FirstTrim_M_70705
CVS_M_72324,Male,FirstTrim_M_72324
CVS_F_71743,Female,FirstTrim_F_71743
CVS_F_71203,Female,FirstTrim_F_71203
CVS_M_71038,Male,FirstTrim_M_71038
CVS_F_71702,Female,FirstTrim_F_71702
CVS_M_72054,Male,FirstTrim_M_72054
CVS_F_70879,Female,FirstTrim_F_70879
CVS_F_71419,Female,FirstTrim_F_71419
CVS_M_70747,Male,FirstTrim_M_70747
CVS_M_71171,Male,FirstTrim_M_71171
CVS_F_71440,Female,FirstTrim_F_71440
CVS_M_71286,Male,FirstTrim_M_71286
CVS_M_71314,Male,FirstTrim_M_71314
CVS_F_71095,Female,FirstTrim_F_71095
CVS_F_71652,Female,FirstTrim_F_71652
CVS_F_70807,Female,FirstTrim_F_70807
CVS_F_71620,Female,FirstTrim_F_71620
CVS_M_70910,Male,FirstTrim_M_70910
CVS_M_71758,Male,FirstTrim_M_71758
CVS_M_72308,Male,FirstTrim_M_72308
