ID,Type,Name
CVS_M_71806,Male,FirstTrim_M_71806
PL_M_72343,Male,ThirdTrim_M_72343
CVS_F_72091,Female,FirstTrim_F_72091
CVS_M_71451,Male,FirstTrim_M_71451
PL_M_72319,Male,ThirdTrim_M_72319
CVS_M_71491,Male,FirstTrim_M_71491
CVS_M_70911,Male,FirstTrim_M_70911
CVS_M_70913,Male,FirstTrim_M_70913
CVS_M_72003,Male,FirstTrim_M_72003
CVS_F_71869,Female,FirstTrim_F_71869
CVS_F_71369,Female,FirstTrim_F_71369
PL_M_72330,Male,ThirdTrim_M_72330
CVS_F_70965,Female,FirstTrim_F_70965
CVS_M_71445,Male,FirstTrim_M_71445
CVS_F_71099,Female,FirstTrim_F_71099
CVS_M_71895,Male,FirstTrim_M_71895
CVS_F_70964,Female,FirstTrim_F_70964
CVS_M_71412,Male,FirstTrim_M_71412
CVS_F_71759,Female,FirstTrim_F_71759
CVS_M_71394,Male,FirstTrim_M_71394
CVS_M_72380,Male,FirstTrim_M_72380
CVS_M_71624,Male,FirstTrim_M_71624
CVS_M_70830,Male,FirstTrim_M_70830
CVS_F_71607,Female,FirstTrim_F_71607
CVS_M_70949,Male,FirstTrim_M_70949
CVS_M_70838,Male,FirstTrim_M_70838
CVS_M_71756,Male,FirstTrim_M_71756
PL_F_71987,Female,ThirdTrim_F_71987
CVS_F_70922,Female,FirstTrim_F_70922
CVS_F_71949,Female,FirstTrim_F_71949
PL_M_72358,Male,ThirdTrim_M_72358
CVS_F_70866,Female,FirstTrim_F_70866
CVS_F_71179,Female,FirstTrim_F_71179
CVS_M_70893,Male,FirstTrim_M_70893
CVS_F_70847,Female,FirstTrim_F_70847
CVS_F_71793,Female,FirstTrim_F_71793
CVS_F_71146,Female,FirstTrim_F_71146
CVS_F_71104,Female,FirstTrim_F_71104
CVS_M_70956,Male,FirstTrim_M_70956
CVS_F_71757,Female,FirstTrim_F_71757
CVS_M_71086,Male,FirstTrim_M_71086
CVS_F_70805,Female,FirstTrim_F_70805
CVS_M_71861,Male,FirstTrim_M_71861
CVS_F_71016,Female,FirstTrim_F_71016
CVS_M_70932,Male,FirstTrim_M_70932
CVS_M_70801,Male,FirstTrim_M_70801
CVS_M_70906,Male,FirstTrim_M_70906
CVS_M_71282,Male,FirstTrim_M_71282
CVS_M_71127,Male,FirstTrim_M_71127
CVS_F_72098,Female,FirstTrim_F_72098
CVS_M_71905,Male,FirstTrim_M_71905
CVS_F_71527,Female,FirstTrim_F_71527
CVS_M_71673,Male,FirstTrim_M_71673
CVS_M_71955,Male,FirstTrim_M_71955
CVS_F_72069,Female,FirstTrim_F_72069
CVS_F_72034,Female,FirstTrim_F_72034
CVS_F_70710,Female,FirstTrim_F_70710
CVS_F_71318,Female,FirstTrim_F_71318
CVS_F_70738,Female,FirstTrim_F_70738
CVS_M_71731,Male,FirstTrim_M_71731
CVS_M_70774,Male,FirstTrim_M_70774
CVS_M_70705,Male,FirstTrim_M_70705
CVS_M_72324,Male,FirstTrim_M_72324
CVS_F_71743,Female,FirstTrim_F_71743
CVS_F_71203,Female,FirstTrim_F_71203
PL_F_72314,Female,ThirdTrim_F_72314
PL_M_72145,Male,ThirdTrim_M_72145
CVS_M_71038,Male,FirstTrim_M_71038
CVS_F_71702,Female,FirstTrim_F_71702
CVS_M_72054,Male,FirstTrim_M_72054
CVS_F_70879,Female,FirstTrim_F_70879
CVS_F_71419,Female,FirstTrim_F_71419
CVS_M_70747,Male,FirstTrim_M_70747
CVS_M_71171,Male,FirstTrim_M_71171
CVS_F_71440,Female,FirstTrim_F_71440
CVS_M_71286,Male,FirstTrim_M_71286
CVS_M_71314,Male,FirstTrim_M_71314
CVS_F_71095,Female,FirstTrim_F_71095
CVS_F_71652,Female,FirstTrim_F_71652
CVS_F_70807,Female,FirstTrim_F_70807
PL_M_72316,Male,ThirdTrim_M_72316
CVS_F_71620,Female,FirstTrim_F_71620
PL_M_72420,Male,ThirdTrim_M_72420
CVS_M_70910,Male,FirstTrim_M_70910
PL_F_72424,Female,ThirdTrim_F_72424
CVS_M_71758,Male,FirstTrim_M_71758
CVS_M_72308,Male,FirstTrim_M_72308
PL_M_72344,Male,ThirdTrim_M_72344
