,001_C_Female,001_F_Female,002_A_Male,002_C_Male,014_D_Female,015_A_Female,015_D_Female,015_E_Male,022_B_Male,022_F_Male,023_B_Male,023_D_Female,023_E_Male,029_A_Male,029_E_Female,030_B_Male,030_E_Male,030_F_Male,033_A_Female,033_C_Male,033_D_Male,054_B_Male,054_D_Female,054_F_Female,072_C_Male,072_F_Male,087_A_Female,087_C_Female,087_E_Male,623b_Male,624_Male,657_Female,668_Male,701_Female,705_Male,777_Female,784b_Female
AADACL2,16.264515906039,22.6338564162991,22.5074288264142,22.3092828832908,22.2781953379826,18.880019906994,22.3188839570861,22.3330242855782,22.4430087766138,22.1413475573648,22.364030428191,22.5903250307415,22.4375478868173,22.3951473471117,21.9952395861661,22.1793493760025,22.316698610988,22.2378022232221,22.3891880746366,22.3486225382461,22.3723900421017,23.0330695614693,22.6120657691356,22.4399538642885,22.416843132608,22.4210092590668,22.950038241215,21.9077727115288,22.0969724615646,8.88874324889826,9.10852445677817,9.13955135239879,8.96289600533726,8.90388184573618,8.98299357469431,9.01122725542325,8.88874324889826
AADACL3,21.1272760199751,20.808266786884,22.8077767470556,22.450131884451,22.1174557677824,21.128522171377,20.7332075358886,21.647228837732,19.3382383879776,20.5561057364596,22.2639578044823,22.4188012513151,21.1753628741695,22.3505174201536,21.0297656977749,22.1461903425679,20.9139184616822,22.2003170805455,21.2319698299086,21.0415647795735,22.5893277539325,21.1162195210566,21.6603999544481,21.6456407269091,22.3585239952455,21.1252975578265,22.492675182269,22.2525970331421,20.9784711003415,8.79592185740306,8.95194680544066,9.2793000411518,8.92345524223984,9.0304745957959,9.07478425889481,8.86486347255467,9.11463473113337
AADACL4,22.8530970651379,22.6810206707577,22.7265784437823,22.545923879099,22.2968072888073,19.0814392270021,22.5872894974485,22.4229055373555,22.5174197368844,22.4214693085621,22.5138890012285,22.4908489185988,22.5518842437928,22.6015996544137,22.3931117966459,22.4815991693466,22.3395996763444,22.3236867490302,22.6693394674666,22.6119165582647,22.5863832948156,22.8293946682852,22.7357599048729,22.7300034058534,22.2798596358147,19.125143525157,22.6557833477087,22.3179952056863,22.093800523091,8.90689059560852,9.14465824283188,9.0389189892923,9.11113567023471,9.06069593168755,9.08746284125034,9.03066713624694,9.12928301694497
AADAT,22.6680057597309,20.3912799964752,22.6155154650885,22.4254433951154,22.211673337108,21.2784439785775,22.2944284199442,22.3756166532477,22.5738346908187,22.3068655016906,22.3228618736319,22.4081708416586,22.6279213413546,20.2593112340324,22.2196213559824,22.0063867395559,22.1112283298676,22.1925561388764,22.5542500015445,22.5074051467303,22.485107140477,22.4365228214582,22.4130114888915,21.4189348517141,21.2781030446353,22.4286737808441,21.1431931984214,22.0117838641355,21.1609875214523,8.74820813996256,8.91475943532323,8.98449846838823,9.05294678086554,8.96459765749316,8.9959964289282,8.87905942935123,8.97234798420758
AAGAB,20.6708377500898,20.4524785486231,20.4628616874091,20.2656905816344,20.2485321863295,20.829807110709,20.5855145740416,20.7080583477545,20.4239847838843,20.4982795046379,20.5733698218806,20.5658979003323,21.2702314405352,20.1913122848867,20.2292600726246,20.1211274897591,20.4666948623472,20.0934278811062,20.674951691815,20.2978700785617,13.7755074038,20.3156670178907,20.3415579130799,20.0733597005532,20.4836504799773,13.9555591006021,20.7500215982499,20.8418691254016,21.3372897857369,9.35093918154643,9.80251636512122,6.53915881110803,9.8073549220576,9.79441586635011,10.0251395622785,9.45121111183233,10.2021238238305
AAK1,21.7834822109834,19.7623904842829,22.0820852919461,19.6494745804174,22.577077438397,21.3600987868452,21.3781785134477,21.1790090615446,21.3927439258619,19.8428143469643,19.8353692467816,19.4673462143975,21.2388681082364,16.3401848356988,22.6618019651976,19.4687794685354,21.1002575957056,20.9845252667375,21.1365537385095,21.1478100203839,22.679736548094,21.2802719321015,19.6424834251972,22.7587370451552,19.5865905075368,21.1757468011172,21.4690030990222,21.2985870420388,21.290917223952,9.11296379387886,9.43947148931839,7.80216078193864,9.59522100939141,9.46052819890186,9.32958683264201,5.60715956040038,9.2629056748883
AAMDC,21.1310568655681,20.7753538784451,20.4704503563892,20.2807481191188,20.6586229291778,21.1577829813192,20.793510439147,21.2412942502547,20.4484198335668,20.7375205098425,17.3305230375026,21.0991493717339,21.5923228952575,21.1164607287034,20.1535112119016,20.4790183984681,20.7947886641717,17.1693280599447,21.2287864032583,21.1104635560228,20.6361873761214,17.4891109995238,21.1452256666863,20.7762370287217,20.5706988371906,20.9769668046618,21.4801738685027,21.0080633608256,21.3678343685045,9.68474862042163,10.3353903546939,10.6193029554157,10.5018371849023,10.4888443464573,10.9277779620823,9.92184093707449,10.8818787076004
AAMP,21.5803883149928,21.5745912176933,21.6461908422566,21.6022951706803,20.9042920985098,21.8344972830337,21.5887484849445,21.4351071069089,21.4220293383146,21.3667741597176,21.7149820574354,18.2976820410995,21.708938624765,21.5070358119672,20.954794109168,18.0964423588747,21.4366993439742,21.1968632292751,21.2817302800751,21.3146949769474,21.1467122291249,21.3524508337198,21.1508455299018,21.0496485009378,21.3031045716597,21.097959451729,21.4326433322397,17.9234435575264,21.7777176433615,10.129283016945,10.6501542136751,10.7927902943011,11.3020676725265,11.1389117181427,7.89481776330794,10.1823943534045,11.4335854411505
AANAT,22.1727580208423,22.1143361773691,22.1540699100246,21.9493771945967,18.5360536593358,21.8351506406809,22.169316742582,21.8838107993957,22.1169194571869,21.9318733064648,21.8598820362458,18.6278544540855,21.9034718440345,22.0719470752798,21.9131081786154,21.7540980514524,21.729608712415,21.7507351962943,22.0029488943686,22.0725353193411,22.0730301353889,21.9691834313066,22.1994593794983,22.1899095959048,21.9865642596745,22.0461464855499,18.4689222933593,21.7387689086317,22.0451550617423,8.57742882803575,8.81378119121704,8.74819284958946,8.78135971352466,8.75822321472672,8.62935662007961,8.79116288855502,8.57742882803575
AAR2,21.9837194117374,21.6957078944095,22.2472883929879,18.2569273502947,21.2309972894306,22.1793861300295,21.6488499482827,21.9662065352058,21.6863842555471,21.7054999295118,21.6161265661103,21.7091515618502,21.8562636577112,21.72562795498,20.8781542170527,18.1759295880348,21.8307751419939,21.2107183057505,21.8301457246892,21.6752248486476,21.265732353163,21.5105893748625,21.8039966668515,21.5776150687228,21.3394825162131,21.3916201512946,21.9854861991046,21.7750363265257,22.1199552504879,7.3037807481771,11.8637991037288,11.7874944996968,12.4599438483749,12.1344263202209,12.4165336601996,10.8603110549195,12.4893462407191
AARD,22.7672309545692,22.7129666842567,22.7529175552325,22.725474853386,22.269507677723,22.6254694024467,22.4154867340043,22.4084173396668,22.6307803645015,22.4091728537475,19.2397080659479,22.4507204356036,22.566722776777,22.5770394427884,22.0103628276779,22.1884312886168,22.3255006318738,22.2278233243809,22.5512956752586,22.6470868343187,22.3970635354936,22.5697360337955,22.7229955087824,22.4340936900495,22.5160128089999,22.4225437270342,22.242817359766,22.4523518550384,22.3044476951008,8.65463602852797,8.85486838326024,8.92481250360578,9.06608919045777,8.76487159073609,8.94544383637791,5.55458885167764,8.93073733756289
AARS1,21.0566152257437,20.4866455218693,20.7352783524352,20.1763460525113,20.420817592707,20.9613726772349,20.6440190825453,20.7669089816538,20.6455775205689,20.664279736802,20.5819489712312,20.5163098398443,20.6033438165877,20.3808478480202,23.2250800199026,20.3561607074218,20.8628370992709,20.5590437380146,20.9066631019536,20.6648734452601,20.1751474790331,20.1762669091588,20.4832125474046,20.089388408803,20.154926860747,20.2506477042959,21.3021390913053,21.0398554845815,21.3972845006032,11.5068034377956,13.4923539451599,13.0080784108683,14.0109651140505,13.8362476466879,14.3589945280502,12.4468248407803,14.2350418993968
AARS2,20.219304438066,23.1754137117042,19.9740350100658,23.1858581389261,22.9359958923236,20.079506919509,23.1519366034201,23.2258462652,22.9050084744529,23.1501645457841,23.1310601635737,23.0765321621851,23.185027540117,23.2101207642174,22.9468463207904,23.1778436306105,23.2027841608147,22.9015176795157,19.9820424051613,19.9554044318979,23.0369730991786,23.0448359949784,23.0288682091453,19.6394590675408,22.9625617453911,23.1872267062659,20.1558089294925,19.9876012714625,20.3296562095196,9.12928301694497,9.8008998999203,9.90989308377004,10.2749604721406,9.9614496943982,10.2911706993219,9.2644426002266,10.2455527062557
AASDH,20.8129880858453,20.587314222825,16.9614723041609,20.0605112349753,19.9940771590586,20.9127585264327,20.4749585357441,20.4014576705665,20.0886071038729,20.1431315615045,20.4028590570938,20.1245807664405,20.5730776057569,20.0198784481798,23.2425129827747,20.0954511104796,16.7440454364521,20.13837680618,20.3986393265429,20.1089582863243,20.0874693158768,20.2680256415026,20.1398360982929,20.0392604554173,20.0766186010432,20.1997502146072,20.6012103906505,20.5859051162622,20.4632489564754,8.84549005094438,9.11374216604919,9.3151495622563,9.14720492494223,9.17242750864548,9.21916852046216,8.93073733756289,9.46147944728616
AASDHPPT,20.6323118873362,20.4093702171378,20.5576974056067,20.2378179746678,23.1446884239521,17.4281802172069,20.4996931203941,17.5664777557151,16.6987860439337,20.2935390041682,20.1609989866953,20.641687524182,20.7189400147419,20.7301168369068,23.1045179741291,20.0480065236307,20.3856265147364,19.8129356143397,20.7428324287688,20.0872906055197,20.1938802443927,20.1194933703192,20.2631041144508,23.2499989415912,23.0296677097191,20.0527882547056,20.6288397595951,20.3203708805804,20.9163788183005,5.95419631038687,9.86573327085176,9.76983784362944,9.77807712953536,10.140829770773,9.94836723158468,9.30833903013941,10.1548181090521
AASS,23.0711202491431,22.7786735345311,22.734123293791,22.5832464695542,22.6924422541557,22.8257974959169,22.6454658195947,22.8364350872752,22.5544680050194,22.8211472436956,22.4028702439678,22.5746415671001,22.7473325198799,22.7753028336741,22.471107085026,22.5335058317923,22.5149042358409,16.0878150187306,22.7260301852781,22.6165264091798,22.4958120963298,22.6627376880595,22.7954489540677,22.5789231467805,22.5661355855923,22.6344824951804,22.6352566842214,22.399770505692,22.5860586455778,8.65105169117893,8.94251450533924,5.78135971352466,9.17741953798924,9.06339508128851,8.91886323727459,8.83920378809694,9.12153351734003
AATBC,22.7947722075769,22.6335176663955,22.7777338943906,22.5825364238479,22.5340045448607,22.4100455033182,22.3246096313,19.0591622321663,22.8000736036721,19.306800439878,22.395401294901,22.5558049515769,22.4351826647292,22.5835132204764,19.2039238685797,22.3846132937686,22.3875353988152,22.2103719996419,19.2604004389762,22.6199521668295,22.8606198542328,19.3111141233655,22.6636354082417,22.6576780404004,19.4110971601266,22.6276979626804,19.1060491342094,22.261535716113,22.4873476751089,5.55458885167764,9.25029841790633,9.25029841790633,9.37721053038855,9.11374216604919,9.1873520732005,8.98584193700334,5.8073549220576
AATF,22.2208320391277,22.1629447558094,22.1505037609882,21.5628307360671,21.357777494003,15.6949563465663,22.0986531556134,22.0789729642349,21.8311568366619,21.7111329782498,14.9377875884704,21.6718865512463,21.5562964846437,21.5950316055227,21.092902924444,21.8710110649107,22.055907292875,21.8204142763686,22.1725718690846,21.8277702679231,21.5860691857971,21.9266224767095,21.8549448351376,21.6839361019286,21.6175356209233,21.6133938084206,22.1605500635781,21.8901826219146,22.2460351154113,10.0593444608244,11.3387363825739,11.4335854411505,11.8887432488983,11.7355560239115,11.8269456504155,10.5821419816588,8.56985560833095
AATK,21.3784334071874,22.7907346242277,21.3819461565653,22.77751281323,22.5229122132224,19.570797359858,22.7998587770998,21.8192192506314,22.8205196985351,22.5876571623498,22.5829855477727,16.3986838415448,21.1977623814048,22.7662243336419,22.5463733844691,22.3597190235239,22.8005251810623,22.615501426088,21.4451722309439,19.5459016103412,21.216141120063,21.3875482320105,21.4973394760187,21.319261651958,22.7962494115426,22.762631989222,21.2223618539699,22.6275949592901,21.0671698218989,8.92728202851156,7.60510736123401,9.26171971969375,7.78682359374666,9.18699331475713,7.79415236040363,9.00892616595298,9.36561807662006
ABAT,21.107853332268,22.8348333964203,21.2180565919763,22.7069570708534,22.5692933808966,22.6735316049087,22.5068207076967,21.1655232109646,22.6613786756644,22.5018707811846,22.6076624980142,20.7811877427279,22.45897004118,22.5116832621567,22.4726352083558,22.4111509922244,22.4162023931966,20.7186429222467,22.6279999553556,22.6151470790636,22.5017621663815,22.631176742591,22.6965672366861,22.5955474473451,22.5648351071616,22.4597602416285,22.4632596857752,22.3548454487735,22.5888355166732,8.76879121318597,9.13056998877688,9.18834250854356,9.25006693090876,9.08631629996037,9.01808680627674,7.19029817261397,7.45793968941789
ABCA1,17.6122133894407,20.7615918102689,20.5919550814118,23.0491693683526,20.5350788413018,20.5868691012011,20.8094635583084,20.8549474975678,20.2687738446785,20.5363677008914,20.4242811276026,23.1076860944204,20.2758653295396,20.2758891937236,22.7304483694219,21.0240771013716,20.2150826560307,20.6180529606435,20.4361747253716,20.8011510128387,23.0503018790025,20.0730667574585,20.4717674832826,20.2225402205694,20.4946944767368,22.8536973265807,20.9139171322752,20.7179934703115,20.713394066994,10.8742129348309,12.1163439612375,12.1598713367784,12.3925857562755,9.57175264350355,12.7964452590618,11.4742129371939,12.5999128421871
ABCA10,22.6168644616093,22.2410989828574,22.5506232681181,18.9202394425092,21.9756261954732,22.1294553430963,22.1037808328163,22.1571689636061,22.503028169999,22.2816323770291,22.1391634830455,22.0308627636067,22.3617060856333,18.9529573259034,22.24486870258,22.104237210419,22.0495158953574,22.1494844805142,15.8843136365175,18.9776348956958,22.3422911940719,22.2733055938386,22.199540855183,22.3619092471515,22.0961566402431,22.1800882255109,21.8877200349188,21.996011028277,22.159531083705,8.59618975614441,8.83920378809694,8.87344411251538,9.0389189892923,8.8073549220576,8.86108690599539,8.84549005094438,8.76818432477693
ABCA11P,22.8112923691818,22.7246814187297,22.8981679195245,22.8148048111666,22.3517377943332,22.8226725453685,19.2334137125482,22.6675252226709,22.7650729901069,22.5454009880902,22.5824794580805,19.4329414700111,22.5302119954754,22.8448599364227,22.3804238079792,22.8334197924118,22.5592991284224,22.5008097928634,22.4518195701584,22.6781509289764,22.7412289299143,22.3853674170219,22.831374902569,22.5675070288539,22.5033943732421,22.3975811570306,22.3009672091165,22.5084962494999,22.4674567939393,8.83920378809694,9.24079133216196,9.31741261376487,9.19475685442225,9.11634396123747,8.93073733756289,8.76487159073609,9.19967234483636
ABCA12,21.7913410072659,21.716257082455,21.8172337000051,21.6339163092085,21.2720192901286,21.5106653960855,21.5858524442007,22.3125195250588,21.5213504220712,21.5122561780688,21.2908365174103,21.5873216218014,21.8409913226633,21.4277874112523,21.4309649836007,21.365145235408,19.8217294665209,19.8371909185232,21.9308104250814,21.6517543116689,18.2897061267507,20.2948598654915,21.9754762149039,21.7252209188986,21.5799682034699,21.6617644417724,21.5464314484873,21.2206017016752,18.2439226893745,9.18707824411738,9.61764251698049,9.6516495756064,9.81411062040568,9.66953353916514,9.79949148551805,9.38478980310021,7.96751344454829
ABCA13,22.4131963685861,22.3854637941679,22.7539438624125,22.2301125203831,22.0202146140979,18.8312237291771,18.7329921436546,18.7121037700317,18.6628387176185,21.9490355113762,21.848645861319,22.3039468172575,22.2681790262147,22.3297648651859,22.0613929487437,21.9041325696268,22.0345135316756,21.9676832637571,22.0024854149474,22.0945761220349,22.2702862000828,22.2359096317862,22.2310060816284,22.2302776129078,22.1465096344894,22.1778915213692,21.9313424091507,21.7622254877862,21.9806936082005,8.59245703726808,5.49185309632967,8.75488750216347,5.61470984411521,8.8703647195834,8.86727873970966,8.70043971814109,8.70390357344466
ABCA17P,22.4066749887468,19.0147533387331,22.5312853106438,22.2013719452064,12.0576533399639,22.2909576084734,21.9728350354679,22.1889226167254,22.2799256465355,18.7305298413609,22.0562450929637,18.9547188654669,22.1908615477594,22.0987986657926,21.9673856465071,22.0654243525829,22.1646767991312,22.0301363507982,22.2965168937622,22.2671993114755,22.2271267469887,22.1544235063733,22.330558049911,22.1850941024379,22.0279802173649,22.1723133529547,18.8905938197565,21.9942532922694,22.2769146964925,8.6582114827518,8.89481776330794,8.85174904141606,8.8703647195834,8.58120058192496,8.80413102118332,8.75488750216347,8.7279204545632
ABCA2,22.9259539809269,22.8059888899159,19.8127041632635,22.5508711403069,22.3938508680433,22.5358716376021,20.7849598601274,22.605007216839,22.7795967729785,20.973990197837,22.5670727499514,22.5700398887339,22.7250185442648,22.7122431902046,22.4429482849263,22.2052144888681,22.4037370058485,22.3928853292725,22.7848752306576,20.762226083261,22.4717222019162,19.4616022244876,22.6788415679392,22.6559941764214,22.3739974752459,22.7474375841549,19.0240037876771,22.0756973573372,20.8689345439409,8.94514698432065,9.14702315663575,9.20327482876458,9.27288194893572,9.14360592894645,9.22432434897583,8.92461091005955,9.21990529878133
ABCA3,20.9960900122597,20.6126147682825,20.7189467018923,16.747983140302,19.9851609556798,17.1735795481111,20.1549503401506,17.2000077539098,20.0349386352393,20.4733153314955,20.3765504294666,20.1505009719695,20.6900244090332,20.4223101700582,23.0695227009536,16.6631133084558,20.2402439767046,23.1346124460776,20.6283182634503,20.1437730640767,20.1813221378732,20.2962160758358,20.2597122357791,20.1794171120358,20.3044827890311,19.9691602392762,17.4467521615396,20.3314593269068,21.3521140298542,9.21674585819531,9.76155123244448,9.81378119121704,6.84549005094437,10.0848083878044,10.140829770773,9.35314682549808,10.0014081943928
ABCA4,22.6655647122162,22.5796520042417,22.5589940086639,22.3620725051084,22.3144792476745,22.8448005677854,22.2438198670102,22.4630897695328,22.2917128426835,22.474352333007,22.1817230990603,22.5346196798381,22.522950465548,22.3736795060303,22.1636447627315,22.2002383024224,22.5575772864747,22.0972007831635,22.3754496780314,22.2313313552865,22.3446640667964,22.2895165921542,22.3326935672565,22.2448977292651,22.1043693601454,22.2135976000024,22.3804264503591,22.135190411192,19.1148708644003,8.74146698640115,8.66888498426625,9.00281501560705,9.01959072835788,8.85174904141606,9.29462074889163,8.85174904141606,8.88874324889826
ABCA5,22.7557660510975,21.8111035732815,22.9335631867636,22.4040234115342,22.4705573771963,22.7259496599756,22.5920789071202,22.5126822605975,22.7725607950778,22.5978419036486,22.4532920934597,22.6880555090953,22.6060194080012,22.5941776530292,22.2672991502913,22.5950761790727,22.4302803408904,22.4034918758334,22.6468628824054,22.7297272443554,22.5942847030197,22.6185229383932,22.5725411859704,21.4249013309037,22.4411759453685,22.4625379257262,22.6545289930144,22.3838996813465,22.654541166528,8.7576450327339,9.1103738274559,9.20150602199523,9.27900209630679,9.15112045185462,9.09407808747878,7.74975117457794,9.18209815321738
ABCA6,22.7028233907286,22.6559705993246,22.8184241190482,22.3295421488207,22.1093507964748,22.4907019396891,20.6945400813384,22.1960848841174,22.4009068856138,22.332052344854,20.7698726220483,22.4613765862088,22.553164250506,22.4847319057404,20.5443806334046,22.1222880733095,22.2954062025355,22.1461481056649,22.6126547812059,22.3900237841751,22.5643974260893,20.8628770864605,22.6700074282683,22.4885632283487,22.2493862908405,22.318204798089,22.4345834105442,22.1160006544593,22.3560638097253,8.6966994186931,8.9488163894575,8.97110260271646,7.28824217339843,7.2894221957791,8.85036886003298,8.84052996546335,8.86649441623842
ABCA7,21.3201334976547,22.8001025062497,22.7901530667031,21.0708036790857,22.2684583413009,22.6505515839344,22.6227900553013,21.1598513402112,22.72127338506,21.0977209087949,22.4830755922909,21.0810912696745,21.2739661818097,19.4383186287417,22.4260649081879,22.3909431521344,20.6547674935103,22.3167625486297,21.4202249121415,22.7827715820457,22.5788468715615,21.0266678971389,21.2124436888437,22.7652811704544,22.7022791901878,21.1503566042025,21.0738403502285,22.0991736760937,22.6402621122026,8.86992985136401,9.01891019661307,9.1437885602745,9.22953967758284,7.44835540786306,9.18712282802898,7.2331338430676,9.14960400919364
ABCA8,20.6425611985204,20.5383130447538,23.2156226073008,20.0828013465407,23.083425762856,23.2219071521053,23.0739792296397,19.9423297925374,23.0157850916513,23.2377628438554,20.3570472101556,20.7681196957204,19.931118378238,20.3538166428617,23.0598738497502,22.6694586347502,23.0364476475955,19.8069051418892,20.7728727021626,19.8021171529895,23.0513320966326,20.6614240945142,14.013933264159,23.2282263982676,23.1474595945132,22.9136151516214,20.8237994812063,20.2391323226228,20.9460081360848,9.16741814583174,9.85018683764577,6.28540221886225,9.4241662888181,10.0887882387169,10.1369911120802,9.4262647547021,9.70735913208088
ABCA9,22.6145136183115,22.5855449049778,22.5147420535786,22.4112635388032,22.1558771830289,22.3673696653223,22.3008370048952,22.1908734650926,21.3770563901379,22.3323055414825,18.9121550791702,22.4069913904939,22.404956226421,22.3237307964611,22.2199342449776,22.0497414676255,19.9133252628569,22.1469711473804,22.3778844532824,22.3411228321529,21.2643842432499,20.3040528759317,20.3419657901517,22.4127165088642,22.2121341574808,22.2716369464015,22.2035207201405,22.0868161288109,21.1324581503574,8.6778617463366,8.96675608634894,9.01200501041595,7.8326752481533,7.83280674893261,7.78994244982473,8.83647907966385,8.86710217537395
ABCB1,22.2306725267163,22.0113231572277,22.7435481526929,22.4947474489988,21.7562895875704,23.1658206309839,22.1788860734763,22.5044987296256,21.8514547319591,21.3850756130742,22.673119688011,21.5073039639699,20.3309792263535,20.5919103532343,22.2621355738723,21.9927288552033,21.8421795946293,21.0395978249127,20.9207729870754,21.0629163770531,21.0449550281361,18.0600045168729,21.6217862887296,22.2169361630899,21.8137749295062,18.7656648807772,21.1601964267353,22.6132672205347,22.0378897500933,10.2106713437856,11.2790301364496,10.9046346216682,8.04984854945056,11.8384160757973,10.5313814605163,6.64385618977472,11.2963426846929
