,001_C_Female,001_F_Female,002_A_Male,002_C_Male,014_D_Female,015_A_Female,015_D_Female,015_E_Male,022_B_Male,022_F_Male,023_B_Male,023_D_Female,023_E_Male,029_A_Male,029_E_Female,030_B_Male,030_E_Male,030_F_Male,033_A_Female,033_C_Male,033_D_Male,054_B_Male,054_D_Female,054_F_Female,072_C_Male,072_F_Male,087_A_Female,087_C_Female,087_E_Male,623b_Male,624_Male,657_Female,668_Male,701_Female,705_Male,777_Female,784b_Female
A1CF,22.327550835702,21.5195008630504,20.8371811386837,22.2337898933856,20.3458482624949,22.0493917566322,22.1136549946585,22.2445568477769,22.3248909143186,22.1371410656119,22.0861009230495,21.3308872717078,22.2747485883363,22.2494492046987,22.1414768566793,22.0543546696174,22.0407895859093,21.0623440814856,22.3139335128719,21.4387055080548,21.4345312859703,22.3656513181019,22.3327636819155,22.3341523972579,22.1230653512371,22.255269483698,21.1771815346836,19.4517921758497,20.2711211882725,7.86839076992271,8.82656912564707,8.05027862727053,8.94950079648397,8.82476729897795,8.03033089023946,8.75709155349157,8.83102841236274
A2M,22.2577751181192,21.5947432891047,21.7027324085873,17.3652801192503,20.9522108641959,21.7282335977385,14.5560269927247,21.6023944056852,20.8242774388875,21.8950301159029,21.3720121476326,21.3864045813853,21.7722243511062,20.7336931144161,20.2666744661926,20.9579330991551,21.3737158758365,21.1792852820292,21.6539121781135,20.4960735626479,21.3356187892032,21.2235598584736,21.0492988478941,17.063047427427,20.8946845645449,20.4629026150838,18.078791895508,21.258483798849,22.0080944868768,10.6873756834375,10.8993569229231,11.2691266791494,11.4314976042581,11.3174126137649,8.07681559705083,10.2969162068793,8.64024493622235
A2ML1,22.5814755267952,22.9441131083217,22.7515448763057,22.3621139857442,22.4293301142864,22.1755404138895,22.1466215000756,22.0618115246563,22.4988387396795,22.2740044127159,18.8795832496128,22.2700822672664,22.3183944116148,22.3380676886982,22.3259721315191,22.0958309549606,22.1564327848133,22.1851748807661,22.6095381296273,22.6956615978038,22.5518483451726,22.5684246984718,19.4243200886849,22.4028400652254,22.1968809345325,22.3078795148092,22.1015762829111,21.9829392788177,22.2136990439607,8.66177809777199,5.64385618977472,8.93663793900257,9.06339508128851,8.96289600533726,8.93073733756289,8.86418614465428,8.91587937883577
A4GALT,20.6619476754385,17.7075613497563,21.0425932025537,20.9723333780458,17.2631224582639,21.2661282643044,20.5259135985307,21.2808698641261,20.6121467821488,21.0513317646906,20.4994712393245,20.6182680906581,20.8270557817617,20.4812012718073,17.1487347506459,21.3423091007884,21.089388408803,20.5022772719032,17.7510536456265,21.0262363694745,20.7398440492582,21.3839789771976,21.3817404346023,20.984645141629,20.6429859427986,20.256654439189,20.829499773913,20.0196246605666,20.9872778926154,9.80251636512122,7.28540221886225,10.3420746679991,10.57931593758,10.4542992936199,10.4470832262097,9.71252700043982,11.5018371849023
A4GNT,22.6377777258833,22.7653998247229,23.1126615763085,22.3396632813403,18.9199864123559,22.6728463480214,22.4587577896234,22.5216327861389,22.7051624023106,22.3626483102606,22.2548979944561,22.3202504954227,22.5343375578225,22.3989524000819,22.1534407022425,22.3893892412203,22.1779970274631,22.2211811551357,22.6058671797759,19.0301956360179,22.6245119117122,22.4296539642855,22.7862598547937,22.616586981797,22.1913523502891,22.3632998273806,22.4730722577152,21.9904073195045,22.3357237261071,8.5077946401987,5.52356195605701,8.84235034341381,8.94251450533924,8.89178370321831,8.89481776330794,8.73131903102506,8.86108690599539
AA06,22.6504373650069,19.271545096359,22.7680017402283,19.2022864699549,18.9524511959297,22.2514910788584,22.3664606942838,19.0477949058294,22.7484406113179,22.3991597738936,22.222046645637,22.396355226552,22.3401307192023,22.5005063924869,22.42094297519,22.277826557141,22.3098856930784,18.9074687083664,22.588404465258,22.7212225023334,22.5050216274353,22.7598784331413,22.6870556805382,22.6161043493568,22.4106780384188,22.5324315520096,22.2950948786274,22.1452766741258,22.3128832321872,8.90689059560852,5.7279204545632,9.05528243550119,8.98584193700334,9.17741953798924,8.97727992349992,9.11374216604919,8.98868468677217
AAAS,20.3645162212595,20.1479762492656,20.1965096788195,22.9252632174161,22.9880386890797,20.4161552973287,19.960259355387,19.9875610265423,23.2196559915988,20.1563361836067,23.0304049674609,19.9611373607976,16.6205062279544,19.9626446999099,22.8661469667667,19.9857849692544,20.0852779386762,19.7696683805304,20.2986197461917,20.1710154942655,16.6777746884785,20.4165862313842,17.1036668759125,19.9460281325311,22.9114870805785,19.999536260249,20.2723108435599,23.1352076369508,20.4388436189231,9.14720492494223,9.47775826644389,9.52552080909507,10.0140204703149,9.57553924683453,9.85798099512757,9.24792751344359,6.65821148275179
AACS,17.3607870849206,20.9477039920372,20.772145401514,20.2639419594037,20.49213582339,21.0007929660221,20.8015773308985,20.7973718053231,20.6346444557781,20.1734599935786,20.3204997945077,20.3248276958545,23.1610678974103,16.8302056994517,20.1930151371419,20.7810602950574,20.6908036745884,20.5129853810935,20.596632921582,21.0768658202065,20.3082356936197,20.8470045694206,20.6840577091554,20.7060482428487,20.0844969990913,16.5643281482231,21.0874278777654,20.5425407054565,20.4372095457265,9.31288295528435,6.82017896241519,10.1382718001722,10.3955341354623,10.4696418172395,10.2502984179063,9.55458885167764,10.467605550083
AACSP1,22.8363389619997,22.7304442231442,19.5568671173247,22.6205310617377,22.229606275263,22.4703686787536,22.4114574557141,23.1237693640443,22.8097598873166,22.4127667460588,22.2504811676911,22.6025736004678,19.4911445678752,19.3884903397535,22.2859276316001,22.2581732186534,22.4375379815616,22.2609152277828,22.9762702559652,22.6004197508851,22.6747250271695,22.6816656464253,22.7601443023614,22.9979033846181,19.1025883211359,22.7233945153277,22.5677328459649,22.1477005574932,22.6587031126994,8.86108690599539,9.09011241966429,9.17492568250068,5.95419631038687,9.15228484230658,9.12928301694497,8.95710204156229,9.09011241966429
AADAC,22.4553510526893,22.259834619778,22.3886080536363,22.3328811929833,21.976511333079,22.0220016604845,22.1140946613404,22.1936787532337,22.1794681397722,22.0061199026632,22.0943274086721,22.4587305095595,22.2472953477712,22.4072213367938,22.1468849714034,22.2727684455466,22.2398382756187,21.9800813380297,22.5874396746872,22.3056740835624,22.2035102124479,22.8806724036141,22.3302453699576,22.1735277016988,21.9474325464323,22.1192124976766,22.5335421897378,21.8404310388383,22.0711850768617,8.67948009950545,8.96289600533726,9.2045711442492,8.89178370321831,8.91587937883577,9.20212382383046,8.82336724004623,8.77478705960117
