"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2ML1",46.9510854861478,-0.799167129555339,0.10292458803788,-7.76458905292114,8.19103652725712e-15,2.09958527773558e-14
"AAAS",1723.97762433068,-0.272305165201959,0.0328066582338784,-8.30030182473013,1.03847228499539e-16,2.82647346569298e-16
"AADAC",1.33225695658435,-2.62728428451018,0.493019232835099,-5.32896915481781,9.87717679622755e-08,1.92340827699492e-07
"AADACL2",3.45655851197254,-1.85310947066484,0.306299321556824,-6.04999534849135,1.44850016334726e-09,3.05412027731759e-09
"AADACL3",89.2005234812078,-2.48923240068485,0.37615366732833,-6.6175943953036,3.65091090107315e-11,8.21128330493848e-11
"AADAT",199.131697295562,-3.05371416600166,0.164667454868298,-18.5447341033117,8.99443931817784e-77,1.02523014616167e-75
"AAED1",207.09851588888,-0.52221374964407,0.0630220626218619,-8.28620530523414,1.16918891128457e-16,3.17537730245165e-16
"AAGAB",889.62703928794,-0.445069897648953,0.031509704866389,-14.1248513604361,2.66962540151449e-45,1.54839641975562e-44
"AAMDC",127.597618302771,-0.257487506373294,0.0726773052643739,-3.54288736265946,0.000395771704671036,0.000637619666041503
"AARS",4774.84617406205,-0.735630262446849,0.0421246980002936,-17.4631581321182,2.73382832335968e-68,2.60884013683408e-67
"AARS2",664.578443645634,-0.83875329811283,0.0494883508336024,-16.948499676884,1.97427878031014e-64,1.73678194725106e-63
"AARSD1",416.810363578256,-0.4261008368347,0.0362314582747304,-11.760521301785,6.23481444305372e-32,2.62453789001923e-31
"AASDH",378.496351593769,-0.845279653837277,0.0595837680563636,-14.186408168038,1.11210716539325e-45,6.50867478639099e-45
"AASDHPPT",1195.34488988966,-1.32041430059607,0.079986274798771,-16.5080109546039,3.21299731683731e-61,2.66485620567306e-60
"AASS",325.661874514192,-1.04458860707826,0.0586652909778098,-17.805905155629,6.3595734633554e-71,6.44965079255398e-70
"AATF",1864.28201250392,-0.187406515010798,0.0366268168459718,-5.11664761365713,3.11013898016446e-07,5.91046569504461e-07
"ABCA12",242.614122875063,-0.772902809165214,0.127684608847221,-6.0532182863952,1.41980264353817e-09,2.99444953511323e-09
"ABCA4",81.9664592232028,-0.350001043669753,0.164009638012568,-2.13402729199935,0.0328405468152065,0.044802545205961
"ABCB10",651.626740573775,-0.707280237698468,0.0383727321594392,-18.4318446432146,7.29526309644665e-76,8.16333446192887e-75
"ABCB11",4.94751832270062,-2.93957853775643,0.317782506930085,-9.25028430971235,2.2389632349996e-20,6.85041002773507e-20
"ABCB4",36.356202547336,-1.77394671075852,0.110473339022308,-16.0576907193899,5.05005524639924e-58,3.87724974567456e-57
"ABCB6",539.538279540356,-0.47994750870383,0.0572742398540914,-8.37981455409129,5.30111597352604e-17,1.45614969062766e-16
"ABCB7",503.550821235026,-0.309528612523733,0.0280262289349935,-11.0442476310916,2.3371725827578e-28,8.95982156175498e-28
"ABCB9",320.772651454954,-1.39244827159931,0.0643266713756486,-21.6465152295511,6.55534120122138e-104,1.30106271946346e-102
"ABCC10",1247.94462211585,-0.597569215583594,0.0529838543680959,-11.2783266281854,1.67909495400007e-29,6.63254232353451e-29
"ABCC4",95.0308455385522,-0.251176309385972,0.096159921637781,-2.61206857397526,0.0089996200531745,0.0129796916957628
"ABCC5",478.987669401727,-0.433905510404732,0.0690790707791501,-6.28128759565909,3.35780324643539e-10,7.28205274167039e-10
"ABCC6",26.6294281012468,-0.667592545438636,0.254075199466268,-2.62753919643097,0.00860049327786188,0.0124283368429446
"ABCD3",1008.46615838562,-0.512023460329819,0.0912582709506181,-5.61070744597919,2.01501162580629e-08,4.04038045422662e-08
"ABCE1",1276.90796273541,-0.983560909295325,0.0952682136553557,-10.3241246115255,5.48165280480999e-25,1.91904496923458e-24
"ABCF2",1570.58110023153,-0.30024184710873,0.0309347525435606,-9.70564890363825,2.85255346209145e-22,9.24668691021219e-22
"ABCG4",6.08924257854148,-0.603825359628203,0.216304265782111,-2.79155548525544,0.00524553632784341,0.0077349781643499
"ABHD10",461.612683756493,-1.14417612514267,0.0479373690283261,-23.8681460483694,6.56294867077646e-126,1.88443244447954e-124
"ABHD13",388.848856723606,-0.260646642562271,0.0821605106900648,-3.17240777075391,0.0015118057004454,0.00233250022354433
"ABHD14A",193.615818686626,-0.187814650902102,0.0676137623719589,-2.77775772732318,0.00547354129308261,0.00805701290074082
"ABHD17B",297.045975930023,-0.489122099951734,0.0353246566955177,-13.8464785140799,1.33603143409313e-43,7.4621197797559e-43
"ABHD3",530.2469743806,-0.918846615003565,0.0568873374374555,-16.1520411464816,1.09865204228342e-58,8.56290082972951e-58
"ABI1",1350.22155122112,-0.146555905468308,0.0417036530856803,-3.51422224732228,0.000441043639524818,0.000708991359707888
"ABI3BP",627.421277536193,-0.653427737545122,0.1491742671481,-4.3802979564592,1.18517139115387e-05,2.08828657396211e-05
"ABL1",3945.02528850934,-0.56948310559835,0.0639239902342084,-8.90875402977576,5.16092686573646e-19,1.51355970530334e-18
"ABRACL",382.981887415481,-1.27833057753974,0.0746632784238933,-17.1212757398911,1.02993282292536e-65,9.31757698980771e-65
"ABT1",1465.47116269863,-0.119997179992765,0.0357123491356266,-3.36010323871572,0.000779133518143965,0.00123260208233292
"AC004069.2",34.3352302937323,-1.44530498997405,0.137876039872751,-10.4826407206644,1.03804076162437e-25,3.69811215123806e-25
"AC004156.3",12.1717201684493,-1.35041667194689,0.308506421587704,-4.37727248916596,1.20173696349802e-05,2.11648638095324e-05
"AC004381.6",114.01862190174,-1.76839213546942,0.0605181147484688,-29.2208728381475,1.05323386749287e-187,1.06386024490597e-185
"AC004791.2",5.02747424074621,-2.12349988560301,0.409971378446989,-5.17962959669777,2.22326911817173e-07,4.25797249600081e-07
"AC004853.1",6.50603653634895,-2.50439896996952,0.254375702096898,-9.84527590223823,7.18418393647813e-23,2.3719443418467e-22
"AC005082.12",15.8980242791572,-0.461207835086107,0.157286750822587,-2.93227390529752,0.00336489831401722,0.00505270701174367
"AC005592.1",11.701814051012,-0.60944805408154,0.195208979935915,-3.12202878311037,0.00179609377627057,0.00275272084142098
"AC005592.3",2.86862955936044,-0.944556573729268,0.299005659475002,-3.15899229261323,0.00158315677170862,0.00243875987994821
"AC005624.2",1.82769762405308,-2.13674155748002,0.376516676671599,-5.67502501182359,1.38668393254145e-08,2.80059900541667e-08
