Gene_Symbol,fc,pval
X1,-1.10510882395694,0.978391578377382
LOC145474,5.00855030193461,1.02038500810293e-07
LINP1,-5.19298955128425,2.43500299828896e-09
LINC01512,-1.08721116298746,0.993809511887536
LINC02381,1.69851495259448,0.303136666946116
LINC01122,-1.00419807003444,0.999928367935626
LOC100130691,-2.87009165764552,0.0014272262403539
XLOC_l2_015760,2.49253844640089,0.002561680980837
MIR100HG,1.20362598014749,0.956262083156542
HIPK2,-1.14980247801791,0.978391578377382
LOC101927354,-1.30080620601502,0.837250410279101
SNORA71A,1.2236157023917,0.923324699412263
DUBR,1.3220757163149,0.795142347440286
X2,-1.04575503691738,0.998207836043923
LOC101929709,1.47362874801666,0.582090617693799
VLDLR-AS1,1.26663193543122,0.87802803873326
X3,-2.1326313752638,0.0384782741468319
PCAT19,1.06274727223387,0.99780568073798
X4,-1.67410620879339,0.349970934028421
SCARNA16,1.86416075597779,0.0578730667159675
DET1,2.2779259288287,0.0233865817385132
LINC00877,-1.34907793165568,0.769328208823387
MIR570HG,-1.88568617077567,0.149941032011333
X5,-1.67781601962173,0.286832876332079
X6,1.88638083336169,0.165228944202363
L3MBTL1,-1.02086316962898,0.999928367935626
LINC00313,1.30061426098014,0.863184929598955
LOC101928673,1.79277810823081,0.254854307575227
LINC02541,-1.14888508334005,0.979455753859843
MIR3150BHG,1.0029729935087,0.999928367935626
LINC02482,1.18141141320558,0.973224796115678
FAM107A,1.10907763207797,0.991067478645566
MAP3K13,-1.12460946908056,0.97981662382098
LINC00513,-1.12134975303934,0.984859954038798
lnc-C9orf69-2,-2.16739085490191,0.0276118580746266
LOC100506178,1.13202870229602,0.98235855162373
X7,-1.02344390921442,0.999928367935626
CDKN2B-AS1,1.20288340938231,0.950370356002668
X8,1.06452583949063,0.996257777335341
X9,-1.07857973302608,0.993997297977941
X10,1.01096274152058,0.999928367935626
BLCAP,1.31344191247646,0.852806353648702
X11,1.57517097148242,0.47313357238344
LOC653712,1.21349999946216,0.945764369155335
MAGI2-AS3,1.34262800465096,0.74051289696482
X12,-1.13016554908385,0.984859954038798
SNHG5,-1.13657718123848,0.24638531732121
X13,1.14838178987998,0.96551418215552
PVT1,1.26949131239831,0.869224142916177
MAP3K13,-1.17280863223373,0.840044220250199
ARMCX5-GPRASP2,-1.08999382183549,0.993809511887536
LINC01291,4.26416270111952,1.33331383165343e-06
MIR570HG,-1.68582878975194,0.264275756530329
LINC00472,1.22542075263036,0.920754256805953
lnc-MYC-2,3.16693091196024,2.43006095266892e-05
DANT2,1.06687054275317,0.99780568073798
SNHG5,-1.04242276637018,0.978112119824714
PVT1,1.17655724945117,0.961932808645353
lnc-AC114947.1.1-2,1.49933253685582,0.50501761085024
LINC01137,-1.40250722270193,0.655123519145666
LOC389602,1.04659247884521,0.998207836043923
ZNF678,1.65971961715306,0.308401446789926
XIST,1.3552977317455,0.792323469065078
X14,-1.60219608284418,0.414127349957871
MAGI2-AS3,1.08309625558085,0.993809511887536
X15,-1.15199293440368,0.980498583965119
LINC01278,1.77120255530905,0.220400700012493
X16,-1.27307449019707,0.849527440540407
LOC101929563,-1.15481397836618,0.980498583965119
LOC93622,1.07738602053477,0.983682177485286
JPX,1.20719932559269,0.462461304313948
MIR4435-2HG,-1.41953441569942,0.690284662388553
PVT1,1.42103658241829,0.502223604923068
PVT1,1.43446169417724,0.582090617693799
lnc-ZNF674-3,3.43276202495701,0.000167327530327
PPP4R1L,1.34574423225489,0.790402772712533
MIR4435-2HG,-1.52931072599879,0.487970530884709
SNHG11,1.25616952183253,0.594363056475615
HCG18,1.20878320260665,0.932919931607007
SNHG11,-1.2798677962791,0.71398632496392
RNASEH1,1.29738351539535,0.83064522507847
LINC01197,13.7863175693065,0.0
GARS-DT,2.35564154743761,0.0256019827120565
CTD-3080P12.3,-1.06781628982961,0.996257777335341
SNORA26,1.68761259084678,0.249798637894876
LINC00513,1.87700292453766,0.132102696520587
LINC01122,-1.04705377904807,0.998207836043923
KIF9-AS1,1.19422135206808,0.951926838540727
LINC00989,-1.43356714838333,0.607580107118951
NEAT1,1.16953107893476,0.965607679085145
TBXAS1,-1.20364745399804,0.938291889107103
LINC00887,-1.06429085702653,0.997329379277138
X17,-1.12175095422582,0.984859954038798
lnc-BTBD10-3,1.29772892666222,0.829836514354808
PURPL,13.2576632646496,0.0
LINC01023,1.00523826410938,0.999928367935626
LOC648987,-1.19744111525997,0.941703702633203
X18,1.08724172714703,0.993809511887536
LINC01193,2.36593440504714,0.0261761252118207
X19,1.17662993081468,0.976079347050134
LINC01978,-1.94209644793083,0.0441305030735399
X20,-1.09346044804952,0.993230336634882
X21,1.24249473850797,0.780990427681402
APTR,1.22834679640727,0.915195725627298
KIAA1671,-1.32880377392726,0.830943087363811
PVT1,1.01685870058646,0.999928367935626
LINC00673,-1.07196397646398,0.996257777335341
SNHG5,-1.14032198182922,0.225893018027415
RFX8,1.34847223168355,0.792323469065078
SNHG5,-1.12531244169519,0.346955137297875
lnc-RAD23B-2,-1.05110878038872,0.998207836043923
LINC00574,-1.48861837954839,0.582090617693799
MIR570HG,-1.04246791448018,0.999127731575614
UBA6-AS1,1.55090061589138,0.527968865805267
LINC00472,1.51084899561758,0.46606098554746
X22,1.01233125579273,0.999928367935626
LOC105377329,-1.25648849861984,0.903817837941291
MAVS,-1.35573436180056,0.717022494173998
TALAM1,1.25750020856628,0.892155357411397
TSTD3,1.06340322266648,0.993809511887536
LINC01605,1.68742596848888,0.254679035384322
PWAR5,1.0198045011466,0.999928367935626
